ID,Nom,Latitude,Longitude,Altitude,Departement,Region,Pays
07005,ABBEVILLE,50.136000,1.834000,69,Somme,Hauts-de-France,France
07015,LILLE-LESQUIN,50.570000,3.097500,47,Nord,Hauts-de-France,France
07020,PTE DE LA HAGUE,49.725167,-1.939833,6,Manche,Normandie,France
07027,CAEN-CARPIQUET,49.180000,-0.456167,67,Calvados,Normandie,France
07037,ROUEN-BOOS,49.383000,1.181667,151,Seine-Maritime,Normandie,France
07072,REIMS-PRUNAY,49.209667,4.155333,95,Marne,Grand Est,France
07110,BREST-GUIPAVAS,48.444167,-4.412000,94,Finistère,Bretagne,France
07117,PLOUMANAC'H,48.825833,-3.473167,55,Côtes-d'Armor,Bretagne,France
07130,RENNES-ST JACQUES,48.068833,-1.734000,36,Ille-et-Vilaine,Bretagne,France
07139,ALENCON,48.445500,0.110167,143,Orne,Normandie,France
07149,ORLY,48.716833,2.384333,89,Essonne,Île-de-France,France
07168,TROYES-BARBEREY,48.324667,4.020000,112,Aube,Grand Est,France
07181,NANCY-OCHEY,48.581000,5.959833,336,Meurthe-et-Moselle,Grand Est,France
07190,STRASBOURG-ENTZHEIM,48.549500,7.640333,150,Bas-Rhin,Grand Est,France
07207,BELLE ILE-LE TALUT,47.294333,-3.218333,34,Morbihan,Bretagne,France
07222,NANTES-BOUGUENAIS,47.150000,-1.608833,26,Loire-Atlantique,Pays de la Loire,France
07240,TOURS,47.444500,0.727333,108,Indre-et-Loire,Centre-Val de Loire,France
07255,BOURGES,47.059167,2.359833,161,Cher,Centre-Val de Loire,France
07280,DIJON-LONGVIC,47.267833,5.088333,219,Côte-d'Or,Bourgogne-Franche-Comté,France
07299,BALE-MULHOUSE,47.614333,7.510000,263,Haut-Rhin,Grand Est,France
07314,PTE DE CHASSIRON,46.046833,-1.411500,11,Charente-Maritime,Nouvelle-Aquitaine,France
07335,POITIERS-BIARD,46.593833,0.314333,123,Vienne,Nouvelle-Aquitaine,France
